id,pop,pop_above_60
1001,55221,10176
1003,195121,49389
1009,57710,13209
1015,116648,25773
1017,34079,8123
1019,26008,7310
1021,43819,9300
1031,50884,10786
1033,54444,13587
1039,37886,10146
1043,80965,19353
1045,49866,10093
1047,42154,9284
1049,71068,15247
1051,80763,15212
1053,37935,8410
1055,103766,24453
1069,103534,22493
1071,52860,13043
1073,659026,131532
1077,92737,22454
1079,33586,7296
1081,150982,22593
1083,88805,16807
1089,346438,65714
1093,30387,8408
1095,94318,20952
1097,414251,83945
1101,228138,42346
1103,119786,25573
1113,58302,10229
1115,85864,18104
1117,203530,37476
1121,81437,17979
1123,41153,10697
1125,200458,33479
1127,65923,16300
2020,299107,40250
2090,99705,12843
2122,57221,12282
2170,96178,14248
4001,72124,13130
4003,129647,33571
4005,136701,21609
4007,53165,17627
4012,20335,8637
4013,4018143,748121
4015,203362,68713
4017,107656,22522
4019,998537,233698
4021,389772,90936
4023,47073,10044
4025,215996,78634
4027,202987,43567
5005,41040,15540
5007,238198,41821
5009,37227,9774
5015,27635,7721
5023,25711,8251
5031,101409,18345
5033,61748,13048
5035,49765,8799
5045,119343,18349
5051,96954,27533
5055,43382,8854
5059,33316,7837
5063,36952,8405
5069,73548,15086
5085,70691,12240
5091,43652,9201
5093,44864,8652
5115,62830,12068
5119,390463,73888
5125,113833,25570
5131,127273,25084
5139,40633,9190
5143,216432,32099
5145,78660,15833
6001,1584983,279720
6005,36995,12193
6007,222564,51382
6009,44767,15105
6013,1096068,215699
6017,182093,45610
6019,956749,148465
6023,135034,29210
6025,178206,28755
6029,865736,122590
6031,150998,19061
6033,64158,18193
6037,10038388,1696183
6039,153187,27103
6041,258349,68817
6045,87544,23132
6047,263885,37774
6053,428441,71683
6055,140295,32050
6057,98570,31639
6059,3116069,558471
6061,366280,86276
6065,2298032,407135
6067,1465832,259312
6069,57557,9353
6071,2094769,307924
6073,3223096,567002
6075,840763,169705
6077,708554,114876
6079,276517,65381
6081,748731,152398
6083,435850,81272
6085,1868149,315445
6087,269278,52474
6089,178942,46348
6093,43895,13618
6095,425753,82108
6097,495078,114759
6099,527367,88088
6101,95247,18435
6103,63152,14998
6107,454033,66326
6109,54079,17266
6111,840833,155736
6113,207320,32888
6115,73437,11512
8001,471206,65053
8005,608310,103836
8013,310032,53714
8014,60699,9811
8029,30214,9231
8031,649654,101965
8035,306974,43821
8041,655024,107252
8043,46809,12335
8045,57076,9066
8059,552344,115198
8067,53182,11084
8069,318227,61627
8077,147834,33555
8085,40815,11321
8101,161519,37450
8123,270948,43755
9001,939983,185689
9003,896943,190623
9005,186304,46881
9007,165165,39266
9009,862224,184833
9011,273185,60461
9013,151948,29449
9015,117470,24116
10001,169509,35140
10003,549643,104936
10005,207302,65074
11001,647484,105463
12001,254218,44399
12005,175353,37910
12009,553591,160883
12011,1843152,382379
12015,165783,76109
12017,139654,59848
12019,197417,38998
12021,341091,122019
12023,67806,15708
12027,34957,8698
12031,890673,161319
12033,306327,65867
12035,100783,35407
12039,46424,10364
12053,174809,59779
12055,98328,39293
12057,1302884,235425
12061,142866,52771
12063,48900,11498
12069,310561,100450
12071,663675,218597
12073,282940,45458
12075,39821,11770
12081,343729,110107
12083,336811,116336
12085,151586,54457
12086,2639042,535875
12087,75901,21413
12089,75880,19842
12091,192237,39201
12093,39255,9038
12095,1229039,186613
12097,300870,52396
12099,1378806,391551
12101,479288,137024
12103,931477,277712
12105,626676,159626
12107,72696,20301
12109,210495,50896
12111,288006,81049
12113,161021,31421
12115,392038,162160
12117,437346,86070
12119,108501,67268
12121,43595,11732
12127,503719,150880
12131,59487,15099
13009,45795,8628
13013,72012,11364
13015,101336,17276
13021,154816,30126
13031,72386,10132
13039,51445,7836
13045,112595,18688
13047,65375,13986
13051,279290,52746
13057,225944,37328
13059,120905,16029
13063,267234,33869
13067,719133,110692
13069,43003,7351
13071,46024,8605
13073,136204,23443
13077,133416,23578
13089,716331,108733
13095,93310,18278
13097,136520,20160
13103,54630,8526
13111,23742,8071
13113,108655,23431
13115,96169,20188
13117,196236,29977
13121,983903,147587
13123,28673,8132
13127,81743,19754
13129,55889,10565
13135,859234,111055
13137,43527,10086
13139,187916,33956
13145,32776,7197
13151,211512,30943
13153,147570,23830
13157,61420,11324
13175,47886,10670
13185,113203,17018
13215,200285,33470
13217,102645,16625
13223,147400,19098
13227,29740,8279
